food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
NONIND_0510,,Non-Indian reference food,10.0,Henry et al. GI tables (non-Indian cohort),600.0,540.0,660.0,High,0.88,100,6000.0,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0511,,Non-Indian reference food,55.0,Henry et al. GI tables (non-Indian cohort),3037.0,2733.3,3340.7,High,0.88,100,5521.7,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0512,,Non-Indian reference food,5.0,Henry et al. GI tables (non-Indian cohort),412.5,371.2,453.8,High,0.88,100,8250.0,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0513,,Non-Indian reference food,10.0,Henry et al. GI tables (non-Indian cohort),942.9,848.6,1037.1,High,0.88,100,9428.6,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0514,,Non-Indian reference food,10.0,Henry et al. GI tables (non-Indian cohort),721.1,648.9,793.2,High,0.88,100,7210.5,Original country: Taiwan. Renamed generically for Indian audience.
NONIND_0515,Bakedbarbecuedporkpuff,Non-Indian reference food,55.0,Henry et al. GI tables (non-Indian cohort),17.1,15.4,18.8,Medium,0.88,100,31.1,Original country: Hong. Renamed generically for Indian audience.
NONIND_0516,FriedriceinYangzhoustyle,Non-Indian reference food,80.0,Henry et al. GI tables (non-Indian cohort),18.4,16.6,20.3,Medium,0.88,100,23.0,Original country: Hong. Renamed generically for Indian audience.
NONIND_0517,Friedfritter,Non-Indian reference food,69.0,Henry et al. GI tables (non-Indian cohort),24.8,22.3,27.3,High,0.88,100,36.0,Original country: Hong. Renamed generically for Indian audience.
NONIND_0518,‘Mai-Lai’cake,Non-Indian reference food,61.0,Henry et al. GI tables (non-Indian cohort),26.8,24.1,29.4,High,0.88,100,43.9,Original country: Hong. Renamed generically for Indian audience.
NONIND_0519,Tunafishbun,Non-Indian reference food,46.0,Henry et al. GI tables (non-Indian cohort),16.5,14.9,18.2,Medium,0.88,100,36.0,Original country: Hong. Renamed generically for Indian audience.
NONIND_0520,Stickyricewrappedinlotusleaf,Non-Indian reference food,83.0,Henry et al. GI tables (non-Indian cohort),24.9,22.4,27.3,High,0.88,100,29.9,Original country: Hong. Renamed generically for Indian audience.
NONIND_0521,Steamedglutinousriceroll,Non-Indian reference food,89.0,Henry et al. GI tables (non-Indian cohort),40.8,36.7,44.9,High,0.88,100,45.9,Original country: Hong. Renamed generically for Indian audience.
NONIND_0522,‘Pineapple’bun,Non-Indian reference food,65.0,Henry et al. GI tables (non-Indian cohort),35.7,32.1,39.3,High,0.88,100,54.9,Original country: Hong. Renamed generically for Indian audience.
NONIND_0523,Jamandpeanutbuttertoast,Non-Indian reference food,72.0,Henry et al. GI tables (non-Indian cohort),34.0,30.6,37.4,High,0.88,100,47.2,Original country: Hong. Renamed generically for Indian audience.
NONIND_0524,Friedricenoodleswithslicedbeef,Non-Indian reference food,66.0,Henry et al. GI tables (non-Indian cohort),13.2,11.9,14.5,Medium,0.88,100,20.0,Original country: Hong. Renamed generically for Indian audience.
NONIND_0525,Eggtart,Non-Indian reference food,45.0,Henry et al. GI tables (non-Indian cohort),15.7,14.2,17.3,Medium,0.88,100,35.0,Original country: Hong. Renamed generically for Indian audience.
NONIND_0526,Plainsteamedvermicelliroll,Non-Indian reference food,90.0,Henry et al. GI tables (non-Indian cohort),18.9,17.0,20.8,Medium,0.88,100,21.0,Original country: Hong. Renamed generically for Indian audience.
NONIND_0527,Greenbeandessert,Non-Indian reference food,54.0,Henry et al. GI tables (non-Indian cohort),8.1,7.3,8.9,Low,0.88,100,15.0,Original country: Hong. Renamed generically for Indian audience.
NONIND_0528,Barbecueporkbun,Non-Indian reference food,69.0,Henry et al. GI tables (non-Indian cohort),29.0,26.1,31.9,High,0.88,100,42.0,Original country: Hong. Renamed generically for Indian audience.
NONIND_0529,Redbeandessert,Non-Indian reference food,75.0,Henry et al. GI tables (non-Indian cohort),14.3,12.8,15.7,Medium,0.88,100,19.0,Original country: Hong. Renamed generically for Indian audience.
NONIND_0530,Mooncakes,Non-Indian reference food,56.0,Henry et al. GI tables (non-Indian cohort),35.0,31.5,38.5,High,0.88,100,62.5,Original country: Hong. Renamed generically for Indian audience.
NONIND_0531,Glutinousriceball,Non-Indian reference food,61.0,Henry et al. GI tables (non-Indian cohort),26.5,23.9,29.2,High,0.88,100,43.5,Original country: Hong. Renamed generically for Indian audience.
NONIND_0532,Chineseherbaljelly,Non-Indian reference food,47.0,Henry et al. GI tables (non-Indian cohort),7.1,6.4,7.8,Low,0.88,100,15.0,Original country: Hong. Renamed generically for Indian audience.
NONIND_0533,Instantsweetmilkybun,Non-Indian reference food,67.0,Henry et al. GI tables (non-Indian cohort),29.4,26.4,32.3,High,0.88,100,43.9,Original country: Hong. Renamed generically for Indian audience.
NONIND_0534,Frozensweetmilkybun,Non-Indian reference food,72.0,Henry et al. GI tables (non-Indian cohort),31.6,28.4,34.7,High,0.88,100,43.9,Original country: Hong. Renamed generically for Indian audience.
NONIND_0535,FriedricevermicelliinSingaporestyle,Non-Indian reference food,54.0,Henry et al. GI tables (non-Indian cohort),8.1,7.3,8.9,Low,0.88,100,15.0,Original country: Hong. Renamed generically for Indian audience.
NONIND_0536,Saltedmeatricedumpling,Non-Indian reference food,58.0,Henry et al. GI tables (non-Indian cohort),14.5,13.0,15.9,Medium,0.88,100,25.0,Original country: Hong. Renamed generically for Indian audience.
NONIND_0537,Saltedmeatricedumpling,Non-Indian reference food,81.0,Henry et al. GI tables (non-Indian cohort),40.5,36.5,44.6,High,0.88,100,50.0,Original country: Hong. Renamed generically for Indian audience.
NONIND_0538,Springroll,Non-Indian reference food,50.0,Henry et al. GI tables (non-Indian cohort),21.9,19.7,24.1,High,0.88,100,43.9,Original country: Hong. Renamed generically for Indian audience.
NONIND_0539,Jianxiricevermicelli,Non-Indian reference food,56.0,Henry et al. GI tables (non-Indian cohort),44.2,39.8,48.7,High,0.88,100,79.0,Original country: HongKong. Renamed generically for Indian audience.
NONIND_0540,SautaoBejingnoodles,Non-Indian reference food,61.0,Henry et al. GI tables (non-Indian cohort),44.1,39.7,48.5,High,0.88,100,72.3,Original country: HongKong. Renamed generically for Indian audience.
