food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
NONIND_0024,Lomaigai,Non-Indian reference food,106.0,Henry et al. GI tables (non-Indian cohort),30.0,27.0,33.0,High,0.88,100,28.3,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0025,Pinkricecake,Non-Indian reference food,97.0,Henry et al. GI tables (non-Indian cohort),26.2,23.6,28.9,High,0.88,100,27.1,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0026,Currypuff,Non-Indian reference food,41.0,Henry et al. GI tables (non-Indian cohort),15.8,14.2,17.4,Medium,0.88,100,38.6,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0027,Charsiew(Pork)Pau,Non-Indian reference food,66.0,Henry et al. GI tables (non-Indian cohort),21.3,19.2,23.5,High,0.88,100,32.3,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0028,Youtiao,Non-Indian reference food,55.0,Henry et al. GI tables (non-Indian cohort),25.1,22.6,27.6,High,0.88,100,45.6,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0029,Kayabuttertoast,Non-Indian reference food,49.0,Henry et al. GI tables (non-Indian cohort),22.5,20.3,24.8,High,0.88,100,46.0,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0030,Nasilemak,Non-Indian reference food,66.0,Henry et al. GI tables (non-Indian cohort),18.4,16.6,20.3,Medium,0.88,100,27.9,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0031,Whitebread—Gardeniabrand,Non-Indian reference food,83.0,Henry et al. GI tables (non-Indian cohort),45.4,40.9,49.9,High,0.88,100,54.7,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0032,Whitebread—Gardeniabrandwithessenceof,Non-Indian reference food,56.9,Henry et al. GI tables (non-Indian cohort),31.1,28.0,34.2,High,0.88,100,54.7,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0033,Wheatflourmuffin,Non-Indian reference food,74.4,Henry et al. GI tables (non-Indian cohort),29.5,26.6,32.5,High,0.88,100,39.7,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0034,Riceflourmuffin,Non-Indian reference food,79.1,Henry et al. GI tables (non-Indian cohort),33.1,29.8,36.4,High,0.88,100,41.9,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0035,Cornflourmuffin,Non-Indian reference food,74.4,Henry et al. GI tables (non-Indian cohort),27.2,24.5,29.9,High,0.88,100,36.5,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0036,Oatflourmuffin,Non-Indian reference food,53.6,Henry et al. GI tables (non-Indian cohort),18.3,16.4,20.1,Medium,0.88,100,34.1,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0037,Barleyflourmuffin,Non-Indian reference food,55.4,Henry et al. GI tables (non-Indian cohort),19.8,17.8,21.8,Medium,0.88,100,35.8,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0038,Whitebread+Soymilk,Non-Indian reference food,77.2,Henry et al. GI tables (non-Indian cohort),66.6,59.9,73.2,High,0.88,100,86.2,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0039,Whitebread+Dairymilk,Non-Indian reference food,74.3,Henry et al. GI tables (non-Indian cohort),64.1,57.6,70.5,High,0.88,100,86.2,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0040,Guavabites,Non-Indian reference food,28.0,Henry et al. GI tables (non-Indian cohort),11.2,10.1,12.3,Medium,0.88,100,40.0,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0041,Guavapuree,Non-Indian reference food,45.0,Henry et al. GI tables (non-Indian cohort),18.0,16.2,19.8,Medium,0.88,100,40.0,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0042,Papayabites,Non-Indian reference food,38.0,Henry et al. GI tables (non-Indian cohort),15.2,13.7,16.7,Medium,0.88,100,40.0,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0043,Papayapuree,Non-Indian reference food,40.0,Henry et al. GI tables (non-Indian cohort),16.0,14.4,17.6,Medium,0.88,100,40.0,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0044,Chinesesteamedwhitebun,Non-Indian reference food,58.0,Henry et al. GI tables (non-Indian cohort),33.0,29.7,36.2,High,0.88,100,56.8,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0045,Whitebunfilledwithredbeanpaste,Non-Indian reference food,58.0,Henry et al. GI tables (non-Indian cohort),27.4,24.6,30.1,High,0.88,100,47.2,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0046,Riceidli,Non-Indian reference food,85.0,Henry et al. GI tables (non-Indian cohort),26.2,23.6,28.9,High,0.88,100,30.9,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0047,Ricedosa,Non-Indian reference food,76.0,Henry et al. GI tables (non-Indian cohort),19.7,17.7,21.7,Medium,0.88,100,25.9,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0048,Upma,Non-Indian reference food,71.0,Henry et al. GI tables (non-Indian cohort),11.5,10.3,12.6,Medium,0.88,100,16.1,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0049,Whole-Grainbiscuit,Non-Indian reference food,54.0,Henry et al. GI tables (non-Indian cohort),32.9,29.6,36.2,High,0.88,100,61.0,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0050,Whole-Grainbiscuitfilledwithpeanutbutter,Non-Indian reference food,44.0,Henry et al. GI tables (non-Indian cohort),21.6,19.4,23.7,High,0.88,100,49.0,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0051,Whole-Grainoatmuesli,Non-Indian reference food,55.0,Henry et al. GI tables (non-Indian cohort),32.7,29.5,36.0,High,0.88,100,59.5,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0052,Whole-Grainoatproteingranola,Non-Indian reference food,51.0,Henry et al. GI tables (non-Indian cohort),29.3,26.4,32.2,High,0.88,100,57.5,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0053,Whole-Grainproteincereal,Non-Indian reference food,49.0,Henry et al. GI tables (non-Indian cohort),24.7,22.3,27.2,High,0.88,100,50.5,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0054,Whitebread+Ricebransoymilk(Rbs),Non-Indian reference food,83.1,Henry et al. GI tables (non-Indian cohort),46.4,41.8,51.1,High,0.88,100,55.9,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0055,Whitebread+Sugar-Freesoymilk(Sfs),Non-Indian reference food,77.5,Henry et al. GI tables (non-Indian cohort),42.4,38.1,46.6,High,0.88,100,54.7,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0056,Whitebread,Non-Indian reference food,100.0,Henry et al. GI tables (non-Indian cohort),52.2,47.0,57.4,High,0.88,100,52.2,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0057,"Basmatirice(Dreamrice,Singapore)",Non-Indian reference food,55.0,Henry et al. GI tables (non-Indian cohort),41.3,37.2,45.5,High,0.88,100,75.2,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0058,Jasminerice(Doublefpthaihommali,Non-Indian reference food,91.0,Henry et al. GI tables (non-Indian cohort),71.5,64.4,78.7,High,0.88,100,78.6,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0059,Multi-Grainsbread,Non-Indian reference food,56.0,Henry et al. GI tables (non-Indian cohort),24.2,21.8,26.6,High,0.88,100,43.2,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0060,Wholemealbreadwithoatmeal,Non-Indian reference food,67.0,Henry et al. GI tables (non-Indian cohort),29.8,26.8,32.7,High,0.88,100,44.4,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0061,Wholemealbread,Non-Indian reference food,85.0,Henry et al. GI tables (non-Indian cohort),23.9,21.5,26.3,High,0.88,100,28.1,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0062,Whitebread,Non-Indian reference food,83.0,Henry et al. GI tables (non-Indian cohort),40.0,36.0,44.0,High,0.88,100,48.2,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0063,Banana(Musaparadisiaca),Non-Indian reference food,55.0,Henry et al. GI tables (non-Indian cohort),13.0,11.7,14.3,Medium,0.88,100,23.7,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0064,Sweetpotato(Ipomoeabatatas),Non-Indian reference food,77.0,Henry et al. GI tables (non-Indian cohort),23.8,21.4,26.1,High,0.88,100,30.9,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0065,Ricenoodles/Kuayteow(Oryzasativa),Non-Indian reference food,85.0,Henry et al. GI tables (non-Indian cohort),27.1,24.4,29.8,High,0.88,100,31.8,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0066,Whiterice(Oryzasativa),Non-Indian reference food,90.0,Henry et al. GI tables (non-Indian cohort),70.3,63.3,77.3,High,0.88,100,78.1,Original country: Malaysia. Renamed generically for Indian audience.
